"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 17:50:03 MSK 2024","Sun Mar 17 17:50:04 MSK 2024","1245","test.group","test_group_add","","","","test_add_group_with_description_from_json_check_db[None,nameyYR7OJ,headerz79tlsop,footerLZX]",""
"passed","Sun Mar 17 17:48:22 MSK 2024","Sun Mar 17 17:48:26 MSK 2024","4363","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,name2\u0436,lastnameJ3C,lovjLyc,None,None]",""
"passed","Sun Mar 17 17:48:18 MSK 2024","Sun Mar 17 17:48:22 MSK 2024","4110","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,nameqa,lastnamerR\u044d\u0438H4B5y,r410,None,None]",""
"passed","Sun Mar 17 17:49:21 MSK 2024","Sun Mar 17 17:49:25 MSK 2024","4460","test.contact","test_contact_in_group","","","","test_add_contact_to_created_group",""
"passed","Sun Mar 17 17:48:59 MSK 2024","Sun Mar 17 17:49:02 MSK 2024","2742","test.contact","test_contact_delete","","","","test_delete_first_contact",""
"passed","Sun Mar 17 17:50:06 MSK 2024","Sun Mar 17 17:50:07 MSK 2024","1356","test.group","test_group_add","","","","test_add_group_with_description_from_json_check_db[None,namexSCbsURZR,headeru4I8jX9V,footer]",""
"failed","Sun Mar 17 17:49:26 MSK 2024","Sun Mar 17 17:49:28 MSK 2024","1909","test.contact","test_contact_update","","","","test_update_contact_by_random_index_in_ui",""
"passed","Sun Mar 17 17:48:06 MSK 2024","Sun Mar 17 17:48:10 MSK 2024","3813","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,namevq\u0440hy\u0438,lastnameyru.r\u044ehx7,i8,None,None]",""
"passed","Sun Mar 17 17:49:44 MSK 2024","Sun Mar 17 17:49:48 MSK 2024","3933","test.group","test_group_add","","","","test_add_group_with_description_from_json_check_ui[None,nameN9eB1B5,header2scAGg7A1,footerUIFj]",""
"passed","Sun Mar 17 17:50:30 MSK 2024","Sun Mar 17 17:50:33 MSK 2024","2232","test","test_db_matches_ui","","","","test_timeit_group_list",""
"passed","Sun Mar 17 17:49:52 MSK 2024","Sun Mar 17 17:49:56 MSK 2024","4255","test.group","test_group_add","","","","test_add_group_with_description_from_json_check_ui[None,nameERWgH,header5ZJCUnB6V,footer]",""
"passed","Sun Mar 17 17:48:10 MSK 2024","Sun Mar 17 17:48:14 MSK 2024","3866","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,name.9,lastname,lb,None,None]",""
"passed","Sun Mar 17 17:48:44 MSK 2024","Sun Mar 17 17:48:47 MSK 2024","2823","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_db_w_db_comparison[None,name.9,lastname,lb,None,None]",""
"failed","Sun Mar 17 17:50:26 MSK 2024","Sun Mar 17 17:50:27 MSK 2024","1173","test.group","test_group_update","","","","test_update_first_group_db_with_db_comparison",""
